turnid	ROUGE1-R	MRR	Exact match	F1	ROUGEL-F1
1_2	0.916667	1.000000	0.000000	0.218182	0.202899
1_3	0.600000	0.250000	0.000000	0.222222	0.250000
1_4	0.857143		0.000000	0.230769	0.250000
1_5	0.285714		0.000000	0.057143	0.045455
1_6	1.000000		0.000000	0.055556	0.054054
1_7	0.500000	0.000000	0.000000	0.317460	0.333333
1_8	0.818182	0.125000	0.000000	0.037037	0.033898
1_9	0.500000		0.000000	0.271186	0.277778
1_10	0.625000	0.000000	0.000000	0.217391	0.264151
1_11	0.800000		0.000000	0.150943	0.212121
1_12	0.800000	1.000000	0.000000	0.200000	0.238806
2_2	1.000000	0.250000	0.000000	0.200000	0.212766
2_3	0.875000	0.000000	0.000000	0.133333	0.121212
2_4	1.000000	0.142857	0.000000	0.166667	0.097561
2_5	0.333333	0.000000	0.000000	0.258065	0.250000
2_6	0.666667	0.000000	0.000000	0.133333	0.130435
2_7	0.875000	0.000000	0.000000	0.000000	0.000000
2_8	1.000000		0.000000	0.102564	0.095238
2_9	1.000000	1.000000	0.000000	0.153846	0.093023
2_10	1.000000	0.500000	0.000000	0.000000	0.000000
2_11	1.000000	0.000000	0.000000	0.068966	0.147059
3_2	1.000000	0.000000	0.000000	0.205128	0.142857
3_3	1.000000	0.333333	0.000000	0.200000	0.181818
3_4	1.000000	0.125000	0.000000	0.322581	0.352941
3_5	0.500000	0.000000	0.000000	0.186047	0.173913
3_6	1.000000	1.000000	0.000000	0.218750	0.119403
3_7	0.500000	0.000000	0.000000	0.038462	0.101695
3_8	0.666667		0.000000	0.074074	0.034483
3_9	0.750000	0.000000	0.000000	0.071429	0.092308
3_10	0.875000		0.000000	0.133333	0.117647
3_11	0.875000		0.000000	0.156863	0.109091
4_2	1.000000	0.000000	0.000000	0.057143	0.170213
4_3	1.000000	0.200000	0.000000	0.258065	0.315789
4_4	1.000000	0.166667	0.000000	0.237288	0.202899
4_5	0.750000	0.000000	0.000000	0.163265	0.148148
4_6	0.800000		0.000000	0.112676	0.153846
4_7	0.875000		0.000000	0.150943	0.190476
4_8	0.750000		0.000000	0.238806	0.179487
4_9	0.777778		0.000000	0.000000	0.000000
5_2	1.000000	0.500000	0.000000	0.157895	0.088889
5_3	1.000000	0.125000	0.000000	0.285714	0.196721
5_4	0.909091		0.000000	0.000000	0.000000
5_5	1.000000	0.000000	0.000000	0.133333	0.122449
5_6	1.000000		0.000000	0.000000	0.058824
5_7	0.888889	0.000000	0.000000	0.181818	0.166667
5_8	0.909091	0.333333	0.000000	0.175439	0.156250
5_9	0.875000		0.000000	0.166667	0.126984
5_10	0.833333	0.000000	0.000000	0.133333	0.080000
6_2	1.000000	0.200000	0.000000	0.315789	0.264706
6_3	0.375000	0.000000	0.000000	0.340426	0.250000
6_4	0.571429	0.000000	0.000000	0.279070	0.244898
6_5	1.000000		0.000000	0.253968	0.138889
6_6	0.800000		0.000000	0.235294	0.238806
6_7	1.000000		0.000000	0.342857	0.250000
6_8	0.909091	0.000000	0.000000	0.218182	0.190476
6_9	0.400000		0.000000	0.129032	0.216216
7_2	1.000000		0.000000	0.218182	0.196721
7_3	1.000000		0.000000	0.166667	0.150000
7_4	0.800000	0.000000	0.000000	0.206897	0.129032
7_5	1.000000		0.000000	0.000000	0.000000
7_6	1.000000		0.000000	0.074074	0.098361
7_7	0.666667	0.000000	0.000000	0.090909	0.160000
7_8	1.000000	0.000000	0.000000	0.166667	0.102564
7_9	1.000000	0.333333	0.000000	0.206897	0.187500
7_10	0.875000	0.000000	0.000000	0.111111	0.103448
7_11	0.833333		0.000000	0.203390	0.176471
8_2	0.888889	0.000000	0.000000	0.380952	0.340426
8_3	1.000000	0.200000	0.000000	0.153846	0.193548
8_4	0.888889		0.000000	0.320000	0.379310
8_5	1.000000		0.000000	0.470588	0.476190
8_6	0.583333	0.000000	0.000000	0.375000	0.368421
8_7	1.000000		0.000000	0.258065	0.277778
9_2	1.000000		0.000000	0.101695	0.123077
9_3	0.750000	0.333333	0.000000	0.088889	0.075472
9_4	1.000000		0.000000	0.108108	0.150000
9_5	1.000000	0.111111	0.000000	0.176471	0.046512
9_6	1.000000	0.000000	0.000000	0.090909	0.206897
9_7	0.777778				
9_8	1.000000	0.000000	0.000000	0.078431	0.092308
9_9	1.000000		0.000000	0.333333	0.352941
10_2	0.375000	0.000000	0.000000	0.192308	0.169492
10_3	1.000000		0.000000	0.200000	0.178571
10_4	1.000000	0.000000	0.000000	0.241379	0.126984
10_5	1.000000		0.000000	0.100000	0.122449
10_6	1.000000				
10_7	1.000000	1.000000	0.000000	0.727273	0.734694
10_8	1.000000	0.142857	0.000000	0.000000	0.000000
10_9	1.000000	0.000000	0.000000	0.444444	0.400000
11_2	1.000000				
11_3	1.000000				
11_4	1.000000				
11_5	0.833333				
11_6	0.750000				
11_7	1.000000				
11_8	0.916667				
12_2	1.000000		0.000000	0.245614	0.213333
12_3	0.666667	0.000000	0.000000	0.163265	0.113208
12_4	1.000000		0.000000	0.250000	0.117647
12_5	0.888889	0.500000	0.000000	0.823529	0.756757
12_6	1.000000		0.000000	0.046512	0.042553
12_7	0.714286	1.000000	0.000000	0.724138	0.738462
12_8	1.000000		0.000000	0.184615	0.140845
12_9	1.000000	0.000000	0.000000	0.164384	0.129870
13_2	1.000000	0.333333	0.000000	0.300000	0.250000
13_3	0.750000	0.000000	0.000000	0.054054	0.051282
13_4	1.000000	0.000000	0.000000	0.060606	0.057143
13_5	1.000000		0.000000	0.163265	0.148148
13_6	1.000000	0.500000	0.000000	0.142857	0.166667
13_7	1.000000	1.000000	0.000000	0.518519	0.514286
13_8	1.000000	1.000000	0.000000	0.487805	0.478261
13_9	1.000000	0.125000	0.000000	0.565217	0.440000
13_10	1.000000	0.000000	0.000000	0.123077	0.088235
13_11	1.000000		0.000000	0.218182	0.137931
14_2	1.000000		0.000000	0.000000	0.052632
14_3	1.000000	0.000000	0.000000	0.000000	0.000000
14_4	1.000000		0.000000	0.000000	0.000000
14_5	1.000000	0.000000	0.000000	0.370370	0.285714
14_6	1.000000				
14_7	0.857143				
14_8	1.000000		0.000000	0.000000	0.000000
14_9	1.000000				
15_2	0.888889	1.000000	0.000000	0.521739	0.493151
15_3	0.700000		0.000000	0.102564	0.133333
15_4	0.800000	0.125000	0.000000	0.090909	0.084507
15_5	1.000000		0.000000	0.133333	0.162162
15_6	0.875000	0.111111	0.000000	0.222222	0.166667
15_7	1.000000		0.000000	0.238095	0.130435
16_2	0.833333		0.000000	0.122449	0.068966
16_3	0.875000	0.333333	0.000000	0.263158	0.244898
16_4	0.888889		0.000000	0.000000	0.000000
16_5	0.857143		0.000000	0.294118	0.105263
16_6	0.800000	0.000000	0.000000	0.133333	0.111111
16_7	0.466667		0.000000	0.102564	0.048780
16_8	0.818182		0.000000	0.046512	0.083333
16_9	1.000000	0.250000	0.000000	0.136364	0.125000
17_2	0.800000	0.000000	0.000000	0.000000	0.000000
17_3	1.000000	1.000000	0.000000	0.789474	0.756757
17_4	1.000000		0.000000	0.255319	0.264151
17_5	1.000000	0.000000	0.000000	0.000000	0.000000
17_6	1.000000	1.000000	0.000000	0.705882	0.736842
17_7	0.625000	0.000000	0.000000	0.000000	0.000000
17_8	0.750000	1.000000	0.000000	0.629630	0.440678
17_9	1.000000		0.000000	0.320000	0.307692
17_10	1.000000		0.000000	0.115385	0.074074
18_2	0.600000	0.500000	0.000000	0.258065	0.171429
18_3	0.833333	0.000000	0.000000	0.153846	0.177778
18_4	1.000000	0.333333	0.000000	0.216216	0.163265
18_5	0.800000	0.000000	0.000000	0.190476	0.240000
18_6	0.857143	0.000000	0.000000	0.068966	0.140845
18_7	1.000000		0.000000	0.291667	0.354839
18_8	1.000000		0.000000	0.137931	0.135593
18_9	1.000000	0.000000	0.000000	0.363636	0.280000
18_10	0.888889		0.000000	0.380952	0.347826
18_11	1.000000		0.000000	0.133333	0.119403
19_2	1.000000		0.000000	0.000000	0.000000
19_3	0.714286		0.000000	0.000000	0.000000
19_4	0.750000	0.000000	0.000000	0.000000	0.000000
19_5	1.000000		0.000000	0.187500	0.139535
19_6	1.000000	0.000000	0.000000	0.451613	0.500000
19_7	1.000000		0.000000	0.130435	0.188679
19_8	1.000000		0.000000	0.142857	0.212766
19_9	0.800000		0.000000	0.214286	0.173913
20_2	0.555556		0.000000	0.192308	0.193548
20_3	1.000000	0.500000	0.000000	0.684211	0.697674
20_4	0.875000	1.000000	0.000000	0.064516	0.061538
20_5	1.000000	0.125000	0.000000	0.250000	0.230769
20_6	0.800000	1.000000	0.000000	0.190476	0.177778
20_7	1.000000		0.000000	0.102564	0.050000
21_2	0.714286		0.000000	0.057143	0.054054
21_3	1.000000		0.000000	0.000000	0.000000
21_4	1.000000		0.000000	0.255319	0.200000
21_5	1.000000		0.000000	0.000000	0.000000
21_6	1.000000	0.000000	0.000000	0.228571	0.157895
21_7	1.000000		0.000000	0.000000	0.000000
21_8	1.000000	0.000000	0.000000	0.078431	0.076923
22_2	1.000000	0.500000	0.000000	0.177778	0.117647
22_3	1.000000		0.000000	0.175439	0.137931
