turnid	ROUGE1-R	MRR	Exact match	F1
1_2	0.916667	1.000000	0.000000	0.218182
1_3	0.600000	0.250000	0.000000	0.222222
1_4	0.857143		0.000000	0.230769
1_5	0.285714		0.000000	0.057143
1_6	1.000000		0.000000	0.055556
1_7	0.500000	0.000000	0.000000	0.317460
1_8	0.818182	0.125000	0.000000	0.037037
1_9	0.500000		0.000000	0.271186
1_10	0.625000	0.000000	0.000000	0.217391
1_11	0.800000		0.000000	0.150943
1_12	0.800000	1.000000	0.000000	0.200000
2_2	1.000000	0.250000	0.000000	0.200000
2_3	0.875000	0.000000	0.000000	0.133333
2_4	1.000000	0.142857	0.000000	0.166667
2_5	0.333333	0.000000	0.000000	0.258065
2_6	0.666667	0.000000	0.000000	0.133333
2_7	0.875000	0.000000	0.000000	0.000000
2_8	1.000000		0.000000	0.102564
2_9	1.000000	1.000000	0.000000	0.153846
2_10	1.000000	0.500000	0.000000	0.000000
2_11	1.000000	0.000000	0.000000	0.068966
3_2	1.000000	0.000000	0.000000	0.205128
3_3	1.000000	0.333333	0.000000	0.200000
3_4	1.000000	0.125000	0.000000	0.322581
3_5	0.500000	0.000000	0.000000	0.186047
3_6	1.000000	1.000000	0.000000	0.218750
3_7	0.500000	0.000000	0.000000	0.038462
3_8	0.666667		0.000000	0.074074
3_9	0.750000	0.000000	0.000000	0.071429
3_10	0.875000		0.000000	0.133333
3_11	0.875000		0.000000	0.156863
4_2	1.000000	0.000000	0.000000	0.057143
4_3	1.000000	0.200000	0.000000	0.258065
4_4	1.000000	0.166667	0.000000	0.237288
4_5	0.750000	0.000000	0.000000	0.163265
4_6	0.800000		0.000000	0.112676
4_7	0.875000		0.000000	0.150943
4_8	0.750000		0.000000	0.238806
4_9	0.777778		0.000000	0.000000
5_2	1.000000	0.500000	0.000000	0.157895
5_3	1.000000	0.125000	0.000000	0.285714
5_4	0.909091		0.000000	0.000000
5_5	1.000000	0.000000	0.000000	0.133333
5_6	1.000000		0.000000	0.000000
5_7	0.888889	0.000000	0.000000	0.181818
5_8	0.909091	0.333333	0.000000	0.175439
5_9	0.875000		0.000000	0.166667
5_10	0.833333	0.000000	0.000000	0.133333
6_2	1.000000	0.200000	0.000000	0.315789
6_3	0.375000	0.000000	0.000000	0.340426
6_4	0.571429	0.000000	0.000000	0.279070
6_5	1.000000		0.000000	0.253968
6_6	0.800000		0.000000	0.235294
6_7	1.000000		0.000000	0.342857
6_8	0.909091	0.000000	0.000000	0.218182
6_9	0.400000		0.000000	0.129032
7_2	1.000000		0.000000	0.218182
7_3	1.000000		0.000000	0.166667
7_4	0.800000	0.000000	0.000000	0.206897
7_5	1.000000		0.000000	0.000000
7_6	1.000000		0.000000	0.074074
7_7	0.666667	0.000000	0.000000	0.090909
7_8	1.000000	0.000000	0.000000	0.166667
7_9	1.000000	0.333333	0.000000	0.206897
7_10	0.875000	0.000000	0.000000	0.111111
7_11	0.833333		0.000000	0.203390
8_2	0.888889	0.000000	0.000000	0.380952
8_3	1.000000	0.200000	0.000000	0.153846
8_4	0.888889		0.000000	0.320000
8_5	1.000000		0.000000	0.470588
8_6	0.583333	0.000000	0.000000	0.375000
8_7	1.000000		0.000000	0.258065
9_2	1.000000		0.000000	0.101695
9_3	0.750000	0.333333	0.000000	0.088889
9_4	1.000000		0.000000	0.108108
9_5	1.000000	0.111111	0.000000	0.176471
9_6	1.000000	0.000000	0.000000	0.090909
9_7	0.777778			
9_8	1.000000	0.000000	0.000000	0.078431
9_9	1.000000		0.000000	0.333333
10_2	0.375000	0.000000	0.000000	0.192308
10_3	1.000000		0.000000	0.200000
10_4	1.000000	0.000000	0.000000	0.241379
10_5	1.000000		0.000000	0.100000
10_6	1.000000			
10_7	1.000000	1.000000	0.000000	0.727273
10_8	1.000000	0.142857	0.000000	0.000000
10_9	1.000000	0.000000	0.000000	0.444444
11_2	1.000000			
11_3	1.000000			
11_4	1.000000			
11_5	0.833333			
11_6	0.750000			
11_7	1.000000			
11_8	0.916667			
12_2	1.000000		0.000000	0.245614
12_3	0.666667	0.000000	0.000000	0.163265
12_4	1.000000		0.000000	0.250000
12_5	0.888889	0.500000	0.000000	0.823529
12_6	1.000000		0.000000	0.046512
12_7	0.714286	1.000000	0.000000	0.724138
12_8	1.000000		0.000000	0.184615
12_9	1.000000	0.000000	0.000000	0.164384
13_2	1.000000	0.333333	0.000000	0.300000
13_3	0.750000	0.000000	0.000000	0.054054
13_4	1.000000	0.000000	0.000000	0.060606
13_5	1.000000		0.000000	0.163265
13_6	1.000000	0.500000	0.000000	0.142857
13_7	1.000000	1.000000	0.000000	0.518519
13_8	1.000000	1.000000	0.000000	0.487805
13_9	1.000000	0.125000	0.000000	0.565217
13_10	1.000000	0.000000	0.000000	0.123077
13_11	1.000000		0.000000	0.218182
14_2	1.000000		0.000000	0.000000
14_3	1.000000	0.000000	0.000000	0.000000
14_4	1.000000		0.000000	0.000000
14_5	1.000000	0.000000	0.000000	0.370370
14_6	1.000000			
14_7	0.857143			
14_8	1.000000		0.000000	0.000000
14_9	1.000000			
15_2	0.888889	1.000000	0.000000	0.521739
15_3	0.700000		0.000000	0.102564
15_4	0.800000	0.125000	0.000000	0.090909
15_5	1.000000		0.000000	0.133333
15_6	0.875000	0.111111	0.000000	0.222222
15_7	1.000000		0.000000	0.238095
16_2	0.833333		0.000000	0.122449
16_3	0.875000	0.333333	0.000000	0.263158
16_4	0.888889		0.000000	0.000000
16_5	0.857143		0.000000	0.294118
16_6	0.800000	0.000000	0.000000	0.133333
16_7	0.466667		0.000000	0.102564
16_8	0.818182		0.000000	0.046512
16_9	1.000000	0.250000	0.000000	0.136364
17_2	0.800000	0.000000	0.000000	0.000000
17_3	1.000000	1.000000	0.000000	0.789474
17_4	1.000000		0.000000	0.255319
17_5	1.000000	0.000000	0.000000	0.000000
17_6	1.000000	1.000000	0.000000	0.705882
17_7	0.625000	0.000000	0.000000	0.000000
17_8	0.750000	1.000000	0.000000	0.629630
17_9	1.000000		0.000000	0.320000
17_10	1.000000		0.000000	0.115385
18_2	0.600000	0.500000	0.000000	0.258065
18_3	0.833333	0.000000	0.000000	0.153846
18_4	1.000000	0.333333	0.000000	0.216216
18_5	0.800000	0.000000	0.000000	0.190476
18_6	0.857143	0.000000	0.000000	0.068966
18_7	1.000000		0.000000	0.291667
18_8	1.000000		0.000000	0.137931
18_9	1.000000	0.000000	0.000000	0.363636
18_10	0.888889		0.000000	0.380952
18_11	1.000000		0.000000	0.133333
19_2	1.000000		0.000000	0.000000
19_3	0.714286		0.000000	0.000000
19_4	0.750000	0.000000	0.000000	0.000000
19_5	1.000000		0.000000	0.187500
19_6	1.000000	0.000000	0.000000	0.451613
19_7	1.000000		0.000000	0.130435
19_8	1.000000		0.000000	0.142857
19_9	0.800000		0.000000	0.214286
20_2	0.555556		0.000000	0.192308
20_3	1.000000	0.500000	0.000000	0.684211
20_4	0.875000	1.000000	0.000000	0.064516
20_5	1.000000	0.125000	0.000000	0.250000
20_6	0.800000	1.000000	0.000000	0.190476
20_7	1.000000		0.000000	0.102564
21_2	0.714286		0.000000	0.057143
21_3	1.000000		0.000000	0.000000
21_4	1.000000		0.000000	0.255319
21_5	1.000000		0.000000	0.000000
21_6	1.000000	0.000000	0.000000	0.228571
21_7	1.000000		0.000000	0.000000
21_8	1.000000	0.000000	0.000000	0.078431
22_2	1.000000	0.500000	0.000000	0.177778
22_3	1.000000		0.000000	0.175439
22_4	1.000000	0.500000	0.000000	0.315789
22_5	1.000000	0.000000	0.000000	0.172414
22_6	1.000000		0.000000	0.307692
22_7	1.000000		0.000000	0.300000
22_8	1.000000		0.000000	0.130435
22_9	1.000000			
22_10	1.000000	0.000000	0.000000	0.390244
23_2	0.875000	0.100000	0.000000	0.093023
23_3	1.000000	0.000000	0.000000	0.039216
23_4	1.000000	0.250000	0.000000	0.148148
23_5	1.000000		0.000000	0.230769
23_6	0.900000		0.000000	0.119403
23_7	0.800000	0.000000	0.000000	0.277778
23_8	1.000000	0.000000	0.000000	0.000000
24_2	0.714286		0.000000	0.260870
24_3	1.000000	0.333333	0.000000	0.226415
24_4	0.600000	0.000000	0.000000	0.470588
24_5	1.000000		0.000000	0.214286
24_6	0.857143		0.000000	0.140845
24_7	1.000000		0.000000	0.000000
24_8	0.625000		0.000000	0.000000
25_2	1.000000	0.333333	0.000000	0.170213
